Effect,Estimate,StdErr,DF,tValue,Probt
Intercept,-641E-19,0.02353,53,-0.00,1.0000
LogRegPrice,0.3246,6.1327,298,0.05,0.9578
LogPriceIndex,-1.6675,0.3789,298,-4.40,<.0001
FeatureDisplay,0.9547,0.5314,298,1.80,0.0734
FeatureOnly,0.4466,0.1225,298,3.64,0.0003
LogSeason,-2.3067,1.6834,298,-1.37,0.1716
Lift255,-0.8037,0.3052,298,-2.63,0.0089
Lift265,-0.5144,0.4240,298,-1.21,0.2260
AbsPrice248,1.6542,1.3112,298,1.26,0.2081
Lift248,0.3675,0.2164,298,1.70,0.0905
AbsPrice278,-0.5676,0.8536,298,-0.66,0.5066
Lift278,-1.7994,0.6452,298,-2.79,0.0056
Lift229,-0.2099,0.1315,298,-1.60,0.1116
Lift238,-0.07514,0.1634,298,-0.46,0.6459
AbsPrice230,-0.4169,0.3606,298,-1.16,0.2485
Lift230,0.1216,0.2596,298,0.47,0.6397
Lift281,0.5623,0.1761,298,3.19,0.0016
AbsPrice246,0.6858,8.5581,298,0.08,0.9362
Lift246,0.4423,0.3359,298,1.32,0.1890
Lift239,0.2225,0.2993,298,0.74,0.4579
Lift236,0.2650,0.2398,298,1.11,0.2700
AbsPrice274,1.2783,2.7993,298,0.46,0.6483
Lift274,-0.7991,0.1816,298,-4.40,<.0001
AbsPrice282,0.9503,2.6476,298,0.36,0.7199
Lift307,-0.5512,0.4882,298,-1.13,0.2597
AbsPrice95,3.7711,4.8945,298,0.77,0.4416
Lift95,0.2512,0.8381,298,0.30,0.7646
Lift33,1.0378,1.0207,298,1.02,0.3101
Lift178,0.2109,0.1739,298,1.21,0.2261
Lift308,-0.1621,0.06720,298,-2.41,0.0164
AbsPrice300,1.0912,1.7356,298,0.63,0.5300
Lift300,-0.02363,0.4581,298,-0.05,0.9589
AbsPrice20,-0.5045,0.7082,298,-0.71,0.4767
Lift20,0.2688,0.1481,298,1.82,0.0705
AbsPrice12,-0.03024,0.8189,298,-0.04,0.9706
Lift12,-0.2576,0.1102,298,-2.34,0.0200
AbsPrice106,1.1604,7.0753,298,0.16,0.8698
Lift106,-0.02614,0.2138,298,-0.12,0.9028
AbsPrice199,2.5448,13.7759,298,0.18,0.8536
Lift199,-0.1201,0.2785,298,-0.43,0.6667
AbsPrice107,-0.4073,3.6928,298,-0.11,0.9123
Lift107,-0.01567,0.3242,298,-0.05,0.9615
AbsPrice3,-4.0124,7.3118,298,-0.55,0.5836
Lift3,-0.01725,0.3308,298,-0.05,0.9584
AbsPrice7,-3.3680,19.0061,298,-0.18,0.8595
Lift189,0.1644,0.1233,298,1.33,0.1832
AbsPrice305,-0.4705,4.6093,298,-0.10,0.9188
Lift305,-0.07366,0.1145,298,-0.64,0.5204
AbsPrice303,-5.2914,3.5585,298,-1.49,0.1381
Lift303,-0.1290,0.3042,298,-0.42,0.6718
AbsPrice5,-0.2742,6.9380,298,-0.04,0.9685
Lift5,-0.2962,0.2251,298,-1.32,0.1893
